family,genus,keyword,action,video_path
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,utZDtJbet6M
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,XJCYB50e7aw
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,CGZEFAZM0AM
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,QKJE0Mw9GX4
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,-fwmCDraYlE
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,N2LXOD7GQLw
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,GRoxPvdzxSE
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,mYeeZOQXi7M
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,-2qStBYZTAw
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,KQh4Tz3KS8Q
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,4NcgJqzp_Y0
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,vQUGQA3xGXg
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,lYj9SfKnKC8
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,MoZgiTng5QU
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,tBEc0ZCApbA
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,havAzrRTxIY
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,9TaIE9jzGcQ
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,pee,6W1-U-X7OXc
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,breastfeed,k0iyCQ1_kH4
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,breastfeed,tvCwrgMIVqg
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,breastfeed,aBbB_hyMaVk
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,breastfeed,hJx9pdvty-U
erinaceidae,atelerix_erinaceus_hemiechinus_mesechinus_paraechinus,hedgehog,breastfeed,fIzIGKJOgbw
